"gene","stat"
"COMMD2",1.92617252755479
"CTXN1",1.92335948497545
"TRABD",1.92294036559777
"PARD6G",1.92032999527454
"LBR",1.9197813040726
"METTL17",1.91833129767852
"GIMAP5",1.9182763210511
"DCAF15",1.91315600496512
"TRIP13",1.91309803896255
"ZNF226",1.9117924051617
"NSG1",1.91133235095485
"TACO1",1.90846768090361
"WIPF1",1.90815839901668
"CCDC71",1.90561928776501
"SMARCD1",1.90556596634799
"SUMO4",1.90541077179128
"IGHV5-10-1",1.90491655148313
"NAA80",1.90439619820699
"IFI27L1",1.90428444551592
"KLRC3",1.90423557677873
"CCDC127",1.90176564157495
"PHACTR2-AS1",1.90107836833949
"CPTP",1.90085630452694
"SETD2",1.90003254838002
"IFNLR1",1.89954816945826
"LINC02539",1.89942533728157
"IFI27L2",1.89887773338233
"COL1A2",1.89836711849286
"TRGC2",1.89792690086876
"AC253572.1",1.89741102452102
"NR5A2",1.89533199691821
"VPS4B",1.89422463827443
"ZNF155",1.89390361857525
"USP47",1.8938235830356
"ERMN",1.89322846870123
"BTBD6",1.89225718067998
"RAD21",1.89079977278549
"CXorf40B",1.89074180431662
"LDLRAD4",1.89054423358634
"HECTD3",1.89031691034016
"RBBP7",1.88892449237778
"CENPT",1.88871920711486
"FZD6",1.88839224021041
"PTBP2",1.88819825097427
"DAPK2",1.8853139549422
"AP000240.1",1.88453590511882
"MAP1S",1.88224427327858
"FNDC9",1.88210512816128
"IGHV3-64D",1.88147753166823
"MNAT1",1.88061901534257
"CDK7",1.87987979364423
"HTRA2",1.87874882863456
"MYH11",1.87665208073016
"GIGYF1",1.87560239698992
"C2CD4D",1.87448359917674
"MIGA1",1.8736861908499
"ACVR2B",1.87350953962552
"ZNF671",1.8723742011413
"THAP7",1.87038556819338
"ID4",1.8685469158686
"TCAF2",1.8678712786848
"SH2D2A",1.86765736579387
"GPS2",1.86597878349246
"CYB561D1",1.86589850017264
"ETV7",1.8657360145198
"COG1",1.86327779718312
"ZKSCAN1",1.8625998047166
"DNAL1",1.8616481011273
"BBS7",1.86153881745326
"ARMC7",1.86140385140105
"AIM2",1.86071970653789
"GLT1D1",1.85939616887315
"TMEM250",1.85846366537994
"RRP7A",1.85815004991806
"SUPT3H",1.85805938542425
"PIAS4",1.8570563658255
"ANKRD11",1.85629083531345
"CDC123",1.85621612012123
"NVL",1.85466571416442
"CRIP1",1.85388332197998
"SHOC2",1.85364013542802
"SHLD1",1.85333330048184
"TEDC1",1.85156422567658
"IGLV1-51",1.85154168782338
"UBXN4",1.85098895523612
